GENERATION_DISTRIBUTION
Note!!! Please add ' at the beginning of generator ID as a special indicator of text type.
Unit Name,Unit ID, Type, Element Name, Ratio
Blythe CC1a,'1,BUS,29209,0.3492823
Blythe CC1b,'1,BUS,29208,0.6507177
Blythe CC1b,'1,BUS,29209,0.3492823
Bonneville,'1,BUS,44001,0.0422
Bonneville,'2,BUS,44001,0.0422
Bonneville,'3,BUS,44002,0.0528
Bonneville,'4,BUS,44002,0.0528
Bonneville,'5,BUS,44003,0.0528
Bonneville,'6,BUS,44003,0.0528
Bonneville,'8,BUS,44004,0.0528
Bonneville,'7,BUS,44004,0.0528
Bonneville,'9,BUS,44005,0.0528
Bonneville,'10,BUS,44005,0.0528
Bonneville,'11,BUS,44006,0.059
Bonneville,'12,BUS,44006,0.059
Bonneville,'F1,BUS,44007,0.0106
Bonneville,'14,BUS,44007,0.059
Bonneville,'13,BUS,44007,0.059
Bonneville,'15,BUS,44008,0.059
Bonneville,'16,BUS,44008,0.059
Bonneville,'F2,BUS,44009,0.0106
Bonneville,'18,BUS,44009,0.059
Bonneville,'17,BUS,44009,0.059
Boulder Canyon Agg,'X1,BUS,70261,1
Brea2CC-Total,'C3,BUS,29011,0.1737909
Brea2CC-Total,'C2,BUS,29011,0.1737909
Brea2CC-Total,'C4,BUS,29011,0.1737909
Brea2CC-Total,'C1,BUS,29011,0.1737909
Brea2CC-Total,'S1,BUS,29011,0.3048362
Brush CC1,'G2,BUS,70500,0.32
Brush CC1,'G1,BUS,70500,0.32
Brush CC1,'ST,BUS,70501,0.36
Brush CC2,'G3,BUS,70498,0.486448
Brush CC2,'ST,BUS,70498,0.513552
Brush CC4,'G4,BUS,70499,0.201681
Brush CC4,'G5,BUS,70499,0.210084
Brush CC4,'ST,BUS,70556,0.588235
BS_22256_1,'11,BUS,22256,0.333333
BS_22256_1,'10,BUS,22256,0.333333
BS_22256_1,'12,BUS,22256,0.333333
BuenaVistaPump-Total,'2,BUS,38775,0.058453
BuenaVistaPump-Total,'1,BUS,38775,0.058453
BuenaVistaPump-Total,'3,BUS,38775,0.058453
BuenaVistaPump-Total,'4,BUS,38775,0.117806
BuenaVistaPump-Total,'5,BUS,38775,0.117806
BuenaVistaPump-Total,'6,BUS,38775,0.117806
BuenaVistaPump-Total,'4,BUS,38780,0.117806
BuenaVistaPump-Total,'1,BUS,38780,0.117806
BuenaVistaPump-Total,'3,BUS,38780,0.117806
