"HR_GENERAL","HR_GENERAL"
"Note: For hourly resource units, there are three valid types - Wind, Solar and Others."
"GeneratorKey","GeneratorName","Type","CommitmentShapeID","CommitmentShapeName","CommitmentMultiplier","DispatchShapeID","DispatchShapeName","DispatchMultiplier","CommitmentVariation(%)","CommitmentPdf","DispatchVariation(%)","DispatchPdf","Capacity(MW)","Spillage","IfEnableMultiBlock","ModelType","IfUseInvertLoadingRatio","InvertLoadingRatio","TargetCapacityFactor"
"17090","Airport Solar SE-OR","Solar","4907","PV_Airport Solar0PV-T50_[18]","47.3","4907","PV_Airport Solar0PV-T50_[18]","47.3","0","0","0","0","47.3",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16816","Aiya Solar","Solar","4685","PV_Aiya Solar1PV-T100_[18]","100","4685","PV_Aiya Solar1PV-T100_[18]","100","0","0","0","0","100",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16749","Ajo Solar","Solar","4044","PV_Ajo Solar1PV4.5_[18]","4.5","4044","PV_Ajo Solar1PV4.5_[18]","4.5","0","0","0","0","4.5",#FALSE#,#FALSE#,"NA",#TRUE#,"1","1"
"17297","Alamo Solar","Solar","4330","PV_Alamo Solar1PV-NT20_[18]","20","4330","PV_Alamo Solar1PV-NT20_[18]","20","0","0","0","0","20",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"13267","Alamogordo PV","Solar","4111","PV_Alamogordo Solar PV1PV-NT5_[18]","5","4111","PV_Alamogordo Solar PV1PV-NT5_[18]","5","0","0","0","0","5",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16852","Alamosa","Solar","4741","PV_Alamosa1PV-NT6.95_[18]","6.9","4741","PV_Alamosa1PV-NT6.95_[18]","6.9","0","0","0","0","6.9",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"13232","Albuquerque PV","Solar","4465","PV_Albuquerque PV - Reeves Solar PV1PV-NT2_[18]","2","4465","PV_Albuquerque PV - Reeves Solar PV1PV-NT2_[18]","2","0","0","0","0","2",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"13525","Alhambra","Solar","4139","PV_SG Alhambra1PV-NT50_[18]","50","4139","PV_SG Alhambra1PV-NT50_[18]","50","0","0","0","0","50",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17686","Alkalai Solar","Solar","4828","PV_Alkalai Solar1PV-T0.999_[18]","1","4828","PV_Alkalai Solar1PV-T0.999_[18]","1","0","0","0","0","1",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"19150","Alkali SolarPVPV-NT10","Solar","4924","PV_Alkali SolarPVPV-NT10_[18]","10","4924","PV_Alkali SolarPVPV-NT10_[18]","10","0","0","0","0","10",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17631","All Other Solar","Solar","4180","PV_All Other SolarAPV1_[18]","1","4180","PV_All Other SolarAPV1_[18]","1","0","0","0","0","1",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"18444","Allison Rd Solar Park Agg","Solar","4514","PV_Allison Rd. Solar Park 11PV-NT4_[18]","8","4514","PV_Allison Rd. Solar Park 11PV-NT4_[18]","8","0","0","0","0","8",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16987","Almasol PV 1","Solar","4243","PV_Almasol Generating Station 11PV-NT125_[18]","125","4243","PV_Almasol Generating Station 11PV-NT125_[18]","125","0","0","0","0","125",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16988","Almasol PV 2","Solar","4243","PV_Almasol Generating Station 11PV-NT125_[18]","100","4243","PV_Almasol Generating Station 11PV-NT125_[18]","100","0","0","0","0","100",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16989","Almasol PV 3","Solar","4246","PV_Almasol Generating Station 61PV-NT100_[18]","100","4246","PV_Almasol Generating Station 61PV-NT100_[18]","100","0","0","0","0","100",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16990","Almasol PV 4","Solar","4244","PV_Almasol Generating Station 71PV-NT132_[18]","132","4244","PV_Almasol Generating Station 71PV-NT132_[18]","132","0","0","0","0","132",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"1685","Alpaugh50","Solar","4557","PV_Alpaugh 50 LLC1PV-NT50_[18]","50","4557","PV_Alpaugh 50 LLC1PV-NT50_[18]","50","0","0","0","0","50",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"5702","AlpaughNorth","Solar","4559","PV_Alpaugh North LLC1PV-NT20_[18]","20","4559","PV_Alpaugh North LLC1PV-NT20_[18]","20","0","0","0","0","20",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16818","Alpha Solar","Solar","4866","PV_Alpha Solar1PV-T80_[18]","80","4866","PV_Alpha Solar1PV-T80_[18]","80","0","0","0","0","80",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"5703","AlpineSolar","Solar","4379","PV_Alpine Solar1PV-NT66_[18]","66","4379","PV_Alpine Solar1PV-NT66_[18]","66","0","0","0","0","66",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"13266","Alta Luna Solar","Solar","4056","PV_Alta Luna1PV-T25_[18]","25","4056","PV_Alta Luna1PV-T25_[18]","25","0","0","0","0","25",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"18126","Alta Mesa Wind","Wind","6064","WT_Alta Mesa WindWT27.28 B-1_[18]","27.28","6064","WT_Alta Mesa WindWT27.28 B-1_[18]","27.28","0","0","0","0","27.28",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"14968","Alta_VII_G_29591_EQ","Wind","5214","WT_Pinyon Pines 11WT168 A-1_[18]","168","5214","WT_Pinyon Pines 11WT168 A-1_[18]","168","0","0","0","0","168",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"14969","Alta_X_G_29596_EQ","Wind","5211","WT_Alta Wind 101WT138 A-1_[18]","136.8","5211","WT_Alta Wind 101WT138 A-1_[18]","136.8","0","0","0","0","136.8",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"14970","Alta_XI_G1_29592_EQ","Wind","5173","WT_Alta Wind 111WT90 A-1_[18]","69.7","5173","WT_Alta Wind 111WT90 A-1_[18]","69.7","0","0","0","0","69.7",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"14971","Alta_XI_G2_29593_EQ","Wind","5173","WT_Alta Wind 111WT90 A-1_[18]","20","5173","WT_Alta Wind 111WT90 A-1_[18]","20","0","0","0","0","20",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
