generatorkey,ads_name,bus id,bus name,bus kv,unit id,generator typeid,subtype,long id,ads_long_name,servicestatus,commission_date,retirement_date,devstatus,balancing_area,region name,mincap(mw),maxcap(mw),initialdispatch(mw),save to binary,state,county,city,zipcode,fueltype,technology,btm,internalid,economicpmin,economicpmax,tech_type,GeneratorKey,GeneratorName_x,Type,DispatchShapeName,DispatchMultiplier,capacity_hourly_rsc,GeneratorName_y, Turbine Type,Model Type,MustRun,MinimumDownTime(hr),MinimumUpTime(hr),MaxUpTime(hr),Generic Ramp Rate Name,RampUp Rate(MW/minute),RampDn Rate(MW/minute),Startup Cost Fixed($),StartFuel(MMBTu),Startup Time,VOM Cost,IOMaxCap(MW),IOMinCap(MW),MinInput(MMBTu),IncCap2(MW),IncHR2(MMBTu/MWh),IncCap3(MW),IncHR3(MMBTu/MWh),IncCap4(MW),IncHR4(MMBTu/MWh),IncCap5(MW),IncHR5(MMBTu/MWh),IncCap6(MW),IncHR6(MMBTu/MWh),IncCap7(MW),IncHR7(MMBTu/MWh)
13653,Division Creek,26702,DIVISION CR,2.2,'1,2,Hydro,CA-??-??,Division Creek 1,#TRUE#,#1909-03-01#,#2050-12-31#,Existing,LDWP,CA_LDWP,0.0,0.6,0.5,YES,CA,Inyo,Big Pine,,Water,,#FALSE#,,0,.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11182,WestSide,45528,WESTSID,2.3,'X0,2,Hydro,OR--,West Side,#TRUE#,#1905-03-22#,#2024-03-31#,Existing,PACW,NW_PACW,0.0,0.6,1.0,YES,OR,,,,Water,,#FALSE#,,0,.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19040,DG-BTM_WACM_CO_Delta,79137,HOTCHKIS,46.0,'F4,4,DG-BTM,G0--,DG-BTM_WACM_CO_Delta,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,WACM,RM_WACM,0.0,0.5889639,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.5889639,,19040.0,DG-BTM_WACM_CO_Delta,Solar,DPV-ALL_Delta_CO_F[18],0.5889639,0.5889639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19018,DG-BTM_SPPC_NV_White Pine,64613,LOCKE,57.5,'H6,4,DG-BTM,G0--,DG-BTM_SPPC_NV_White Pine,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,SPPC,SW_NVE,0.0,0.5765103,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.5765103,,19018.0,DG-BTM_SPPC_NV_White Pine,Solar,DPV-ALL_White Pine_NV_F[18],0.5765103,0.5765103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18786,DG-BTM_IPMV_NV_Elko,60839,W WENDOV,138.0,'F8,4,DG-BTM,G0--,DG-BTM_IPMV_NV_Elko,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,IPMV,BS_IPCO,0.0,0.5603096,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.5603096,,18786.0,DG-BTM_IPMV_NV_Elko,Solar,DPV-ALL_Elko_NV_F[18],0.5603096,0.5603096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18875,DG-BTM_PAID_ID_Fremont,65469,GREENTIMBER+,115.0,'V9,4,DG-BTM,G0--,DG-BTM_PAID_ID_Fremont,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,PAID,BS_PACE,0.0,0.5600637,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.5600637,,18875.0,DG-BTM_PAID_ID_Fremont,Solar,DPV-ALL_Fremont_ID_F[18],0.5600637,0.5600637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18189,Longmont Hydro Agg,73556,WAGONWHL,115.0,'X1,2,Hydro,Agg,ADS2032,#TRUE#,#1911-12-01#,#2050-12-31#,Existing,WACM,RM_WACM,0.0,0.56,0.0,YES,CO,U.S.A.,,,Water,,#FALSE#,,0,.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19012,DG-BTM_SPPC_NV_Lander,64129,VALMY,120.0,'I2,4,DG-BTM,G0--,DG-BTM_SPPC_NV_Lander,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,SPPC,SW_NVE,0.0,0.5553182,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.5553182,,19012.0,DG-BTM_SPPC_NV_Lander,Solar,DPV-ALL_Lander_NV_F[18],0.5553182,0.5553182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18938,DG-BTM_PNM_NM_Dona Ana,12161,JARILLA2,24.9,'P6,4,DG-BTM,G0--,DG-BTM_PNM_NM_Dona Ana,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,PNM,SW_PNM,0.0,0.5537803,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.5537803,,18938.0,DG-BTM_PNM_NM_Dona Ana,Solar,DPV-ALL_Dona Ana_NM_F[18],0.5537803,0.5537803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17589,RuAnn Dairy Digester BioMAT,34418,KINGSBURGD,115.0,'X2,1,Bio-ST,_,2032ADS,#TRUE#,#2022-03-15#,#2050-12-31#,Under Construction,CIPV,CA_CISO,0.0,0.55,0.0,YES,CA,Fresno,,T1,Bio,,#FALSE#,,.5,.55,,,,,,,,RuAnn Dairy Digester BioMAT,ST,,False,1.0,1.0,-1.0,,0.48,0.48,622.7328,0.8,1.0,2.027986,0.55,0.5,93.48267,0.05,17.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
